分组,场景名,总点云,数量_背景类,数量_建筑类,数量_车辆类,数量_高植被类,数量_低植被类,占比_背景类,占比_建筑类,占比_车辆类,占比_高植被类,占比_低植被类,分组占比_背景类,分组占比_建筑类,分组占比_车辆类,分组占比_高植被类,分组占比_低植被类
single_group,01JXY12,41911827,7878897,23166352,1853688,7563777,1449113,0.1879874384860388,0.552740208628939,0.044228279525967695,0.18046879702953536,0.03457527632951911,0.01831302094706002,0.1453781471261224,0.26960722785339797,0.021793817778315242,0.009549175923592938
single_group,01JXY3,15157719,2784752,7868392,603098,3400431,501046,0.18371840776306778,0.5191013238865294,0.039788176571949906,0.22433659048567928,0.03305550129277367,0.006472634647764438,0.04937731455612884,0.08771680018640064,0.009797799906281516,0.0033017276084146285
single_group,02YTXC,5821946,854108,4038938,162473,620747,145680,0.14670489901486547,0.6937436382955116,0.02790699192331911,0.10662190958143548,0.02502256118486843,0.0019852141353099984,0.025345955323362375,0.02363067308577556,0.001788583534976752,0.0009599830714023125
single_group,04HXKJC,36516457,7854102,23107468,25326,2057171,3472390,0.21508390039044586,0.6327960020874972,0.0006935503080159173,0.05633544897304796,0.0950910982409931,0.018255389611813177,0.1450086264171487,0.0036835069615896296,0.00592741032857454,0.022881902919458238
single_group,05YLZY1,31417731,7586318,13196971,611719,8115693,1907030,0.24146613261154984,0.42004850700389534,0.01947050218235047,0.2583156944083581,0.06069916379384622,0.017632975839772812,0.08281628422365207,0.08897067026125904,0.023384075758281685,0.012566697670622955
single_group,05YLZY2,33473239,7694228,10106492,428117,12913629,2330773,0.2298620698164286,0.3019275188756009,0.01278982891377796,0.38578964527454307,0.06963093711964952,0.01788379243128267,0.06342228940080764,0.06226691739220041,0.0372085635632525,0.015359024047786808
single_group,06XCNC,8459791,1112580,3252711,21491,3712779,360230,0.1315138872816125,0.38449070432118243,0.0025403700871569996,0.43887360810686693,0.04258143020318114,0.0025859839067930495,0.020412065668205193,0.003125730400044331,0.010697780880789516,0.00237379669008275
single_group,07DJXZ1,13577268,3383600,1906994,15711,5025671,3245292,0.24921066594546118,0.14045491331540336,0.0011571547383464774,0.3701533327617898,0.23902393323899918,0.007864544704223483,0.011967151940911226,0.002285065856176841,0.014480669907079935,0.021385402126286063
single_group,07DJXZ2,15179707,3296640,3643872,0,5434580,2804615,0.21717415230741938,0.24004890212966562,0.0,0.3580161329859661,0.18476081257694896,0.007662422465342033,0.02286675777544768,0.0,0.015658876011505424,0.01848148628364221
single_group,09Henan8,9129760,6926111,2024763,148636,28528,1722,0.7586301282837665,0.22177614745623106,0.0162803841502953,0.0031247261702388673,0.0001886139394682883,0.016098448275775508,0.012706199634259592,0.02161816870973846,8.219888470796763e-05,1.134741109936012e-05
