分组,场景名,点云数量,background,building,car,vegetation,grass,数据占比,drt_background,drt_building,drt_car,drt_vegetation,drt_grass,分组占比-总点云,grt_background,grt_building,grt_car,grt_vegetation,grt_grass,平均召回率,平均精确率,平均iou,background_recall,background_precision,background_iou,building_recall,building_precision,building_iou,car_recall,car_precision,car_iou,vegetation_recall,vegetation_precision,vegetation_iou,grass_recall,grass_precision,grass_iou,grass2background,grass2vegetation,background2grass,vegetation2grass,优先级评分,grass_混淆程度评分
train,01JXY12,41911827.0,7878897.0,23166352.0,1853688.0,7563777.0,1449113.0,1.0,0.1879874384860388,0.552740208628939,0.044228279525967695,0.18046879702953536,0.03457527632951911,0.0712965979124225,0.037415672417692315,0.19774591181946727,0.3704967770948883,0.04008747361589836,0.021811809528121517,0.9100018707844326,0.9275378240956094,0.8522896583568732,0.9520877097390542,0.8779002161337651,0.840756499178893,0.9846653888363563,0.9900592192530715,0.9750256770682421,0.9434834772625738,0.894511582612635,0.8490186102868804,0.9368747915227943,0.987599936782994,0.9259823036186474,0.7328979865613839,0.8876181656955814,0.6706652016317035,0.22528194833667214,0.027008245733769556,0.004345912886029605,0.012357053889875388,0.007183387892991588,0.0049138069472436045
train,02YTXC,5821946.0,854108.0,4038938.0,162473.0,620747.0,145680.0,1.0,0.14670489901486547,0.6937436382955116,0.02790699192331911,0.10662190958143548,0.02502256118486843,0.0099037663767279,0.004056027783753278,0.03447601407387298,0.032473492230050464,0.0032899144150664488,0.0021927512982470947,0.8150876051291711,0.899275585523395,0.7559807626509631,0.9283919597988862,0.8147848639227768,0.7666071451013848,0.9921625437181508,0.9829628533982434,0.9753891666670486,0.9325487927219092,0.9343833639620766,0.8752317850185283,0.8375392873423734,0.9629632373640548,0.8114017632653324,0.3847954420645354,0.8012836089698233,0.351273953202522,0.49428198791872596,0.11638522789676002,0.0030921148145199437,0.017831741434110836,0.0014224948813218756,0.001083837470708941
train,04HXKJC,36516457.0,7854102.0,23107468.0,25326.0,2057171.0,3472390.0,1.0,0.21508390039044586,0.6327960020874972,0.0006935503080159173,0.05633544897304796,0.0950910982409931,0.06211848392854041,0.03729792476880229,0.19724328325405577,0.005061909758656873,0.010902858213018608,0.05226584075041344,0.881720789297162,0.8592394344414613,0.7631236534973642,0.9816394032061083,0.8881842711157324,0.8736703260839904,0.996171324352798,0.9932026083102882,0.9894257074830966,0.9228460870215476,0.5561583856830474,0.5314475419515862,0.6997648712722132,0.9573929236498433,0.6786310804790285,0.8081822606331429,0.9012589834483948,0.7424436114891195,0.17145597124746934,0.015007242850025486,0.007864807459847096,0.11806602368009271,0.013461401186161293,0.008961290488927697
train,05YLZY1,31417731.0,7586318.0,13196971.0,611719.0,8115693.0,1907030.0,1.0,0.24146613261154984,0.42004850700389534,0.01947050218235047,0.2583156944083581,0.06069916379384622,0.05344499380634616,0.036026259658483,0.11264816591106216,0.12226432818667866,0.04301258868581544,0.02870430057863919,0.8790874050496432,0.8953799234668803,0.8044368082097417,0.9634302173992579,0.8548937951584963,0.828024428511068,0.9889324603350194,0.9808800396232709,0.9702294220186306,0.909098785553349,0.8459176036797779,0.7799468173134356,0.9067756752257521,0.9923658182624198,0.9004940588372377,0.6271998867348376,0.8028423606104369,0.5434893143683364,0.3371604012522089,0.016969843159258112,0.005551441423889692,0.030694236462616317,0.013103819937731936,0.009677953500758002
train,06XCNC,8459791.0,1112580.0,3252711.0,21491.0,3712779.0,360230.0,1.0,0.1315138872816125,0.38449070432118243,0.0025403700871569996,0.43887360810686693,0.04258143020318114,0.014391028989266698,0.005283471635493663,0.02776485061524625,0.004295407984809874,0.019677461432847834,0.005422122461336841,0.8141627209295956,0.8016716837934712,0.6793100705413467,0.9401984576389169,0.6514976936998926,0.6255747140184396,0.9567373185013683,0.9268415301392462,0.8895593637000045,0.9258759480669774,0.7308992065797425,0.6904951938068137,0.8747348010748586,0.9902574940183846,0.8672711070567988,0.373267079365857,0.7088624945300896,0.3236499741246769,0.5625766871165644,0.030808094828304138,0.003001132502831257,0.013476428303435244,0.003667252667024343,0.003050359691439192
train,07DJXZ1,13577268.0,3383600.0,1906994.0,15711.0,5025671.0,3245292.0,1.0,0.24921066594546118,0.14045491331540336,0.0011571547383464774,0.3701533327617898,0.23902393323899918,0.023096416611597507,0.016068197006827697,0.016277930481426388,0.003140158896717134,0.026635694523342707,0.048847599163858536,0.8631449452943031,0.8172425840000358,0.7120835213275418,0.9470002364345387,0.6849009381967316,0.6596170714440411,0.9757618534719578,0.8878665164599471,0.8687073442075485,0.94456113550414,0.6869734283830804,0.6603479731203651,0.9044479831648171,0.9564490257722637,0.8686732749256233,0.5439535178960616,0.8700230111881556,0.503071942940131,0.3736230822989118,0.06062690198601543,0.01315374157701856,0.04302649337770021,0.024273742544535504,0.018250590562502573
train,09Henan8,9129760.0,6926111.0,2024763.0,148636.0,28528.0,1722.0,1.0,0.7586301282837665,0.22177614745623106,0.0162803841502953,0.0031247261702388673,0.0001886139394682883,0.015530719473453603,0.032891037959320364,0.017283196148160054,0.02970788987158347,0.0001511963463907448,2.5919259579774146e-05,0.8603102377264902,0.9452143463335743,0.8340877087462865,0.9956262612597316,0.9960063367086986,0.9916673869003984,0.9896318729648365,0.9911336774339854,0.9809476532881684,0.9627882881664181,0.9115258447715459,0.8805052730019317,0.9336441390881463,0.9963713900905418,0.9304803493417275,0.4198606271533182,0.8310344826630995,0.3868378811992061,0.5801393728222997,0.0,1.8047646074398748e-05,0.0007711721817162087,1.589270812168209e-05,1.5036782996628555e-05
train,12JKQ17_2,23881670.0,5645701.0,7556778.0,29621.0,3033865.0,7615705.0,1.0,0.23640310748787668,0.31642586134051764,0.0012403236457081937,0.1270373889263188,0.31889331859957865,0.04062533049363759,0.0268105674162561,0.06450398215598599,0.005920351771348624,0.016079266104976057,0.11463033378512419,0.8783564638128848,0.8298509679126186,0.7374062018546639,0.9593005368155175,0.6991751528046961,0.6790327759527665,0.9832631049899708,0.9728544028519719,0.9570066405584757,0.8598629350769391,0.5885751259403139,0.5370585134411449,0.8930489655933638,0.9336249931512687,0.8397340016351895,0.6963067765886324,0.9550251648148423,0.6741990776857435,0.2733328037259847,0.02154363909841571,0.012457974660719722,0.058308790931699335,0.03734666847238454,0.03133223052553346
train,24JKQ17_1,24583464.0,10517374.0,4066932.0,253690.0,4117842.0,5627626.0,1.0,0.4278231090622542,0.1654336427120279,0.010319538369368938,0.16750454695888262,0.22891916289746636,0.041819158780706786,0.0499453946762287,0.03471496835789121,0.05070504172288013,0.021824266174087118,0.08470609704523,0.9000475849787721,0.9111895753500928,0.8248738239098525,0.9755757473300751,0.8544529591376265,0.8365574435711678,0.9792976622180803,0.9652007958645826,0.9459003330938317,0.9720485632066805,0.8641589834698737,0.8432061110462352,0.8352464713313227,0.9788506559703011,0.8204403224594314,0.7380694808077023,0.89328448230808,0.6782649093785968,0.24937140456739662,0.011949976775286773,0.011241209069868582,0.09139860150049468,0.027252923809032444,0.021123278395591208
train,25JKQ18,19207939.0,4517593.0,2594385.0,84145.0,10242308.0,1769508.0,1.0,0.23519405179285502,0.13506836938622097,0.004380740692689622,0.5332330553527893,0.09212378277544508,0.032674803310515164,0.021453355692358955,0.022145438670523033,0.01681806825563384,0.05428349509985616,0.026634342148947148,0.8609007382421445,0.8405390609769576,0.7363983413053982,0.969194878777239,0.7926828296843412,0.7732021408082657,0.9719505778825821,0.9306672266779604,0.9063251193282784,0.8948006417482978,0.6263768260618395,0.583413401933592,0.9448696524259869,0.9893639990823564,0.9353684866135258,0.5236879403766175,0.8636044233782907,0.48368255784332903,0.4170560404360986,0.04470734237991578,0.007343290995890954,0.011009139736863996,0.013751775411870002,0.011108013276260188
